Record ID,Intake Date,Intake Channel,311 SR Number,Business Category,Complaint Code,Business Unique ID,Business Name,Result Date,Result,Referred To,Contract Cancelled Amount,Refund Amount,Address Type,Building Nbr,Street1,Street2,Street3,Unit Type,Apt/Suite,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Census Block (2010),Census Tract (2010),Latitude,Longitude,Standardized_Business_Name
050286-2024-CMPL,11/5/24,311,311-20695882,Misc Non-Food Retail,Unlicensed,BA-1688781-2024,NYC Soft Ice Cream Truck owned by Eddie Cumart,11/8/24,Complaint Review Complete,,,,Cross Street (Intersection),,WASHINGTON STREET,PLYMOUTH STREET,,,,Brooklyn,NY,11201,Brooklyn,302,33,,,,,21,40.70386048,-73.98953708,NYC Soft Ice Cream Truck owned by Eddie Cumart
049257-2024-CMPL,10/20/24,311,311-20501997,Specialized Vending License - MFV,Cashless Business,BA-1688781-2024,NYC Soft Ice Cream Truck owned by Eddie Cumart,10/21/24,Complaint Review Complete,,,,Complete Address,82,PLYMOUTH ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3346104,3000277501,BK38,1010,21,40.70389075,-73.99049284,NYC Soft Ice Cream Truck owned by Eddie Cumart
048761-2024-CMPL,10/14/24,Online,,Other,,BA-1681634-2023,Eddie’s Ice Cream Corp,11/15/24,Requested Information Not Provided,,,,Complete Address,25,HANK PL,,,,,STATEN ISLAND,NY,10309,Staten Island,503,51,5092586,5066940280,SI01,3024,198,40.51549411,-74.1975918,NYC Soft Ice Cream Truck owned by Eddie Cumart
047392-2024-CMPL,9/23/24,311,311-20183556,Specialized Vending License - MFV,Price Not Posted,BA-1709819-2024,Eddie's Ice Cream Corp.,10/24/24,Requested Information Not Provided,,,,Complete Address,82,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3388734,3000457501,BK38,1008,21,40.70193092,-73.98967082,NYC Soft Ice Cream Truck owned by Eddie Cumart
045945-2024-CMPL,9/4/24,311,311-19935237,Specialized Vending License - MFV,Cashless Business,BA-1705349-2024,EDDIE'S ICE CREAM CORP,9/5/24,Complaint Review Complete,,,,Complete Address,30,PROSPECT ST,,,,Ice cream truck,BROOKLYN,NY,11201,Brooklyn,302,33,3388794,3000750001,BK38,1000,13,40.70072322,-73.98959167,NYC Soft Ice Cream Truck owned by Eddie Cumart
045171-2024-CMPL,8/26/24,311,311-19826401,Specialized Vending License - MFV,Price Not Posted,BA-1688781-2024,NYC Soft Ice Cream Truck owned by Eddie Cumart,8/26/24,Complaint Review Complete,,,,Cross Street (Intersection),,WASHINGTON STREET,PLYMOUTH STREET,,,,Brooklyn,NY,11201,Brooklyn,302,33,,,,,21,40.70386048,-73.98953708,NYC Soft Ice Cream Truck owned by Eddie Cumart
045141-2024-CMPL,8/25/24,311,311-19820926,Specialized Vending License - MFV,Price Not Posted,BA-1693785-2024,NYC Soft Ice Cream Truck owned by Eddie Cumart,8/26/24,Complaint Review Complete,,,,Cross Street (Intersection),,MAIN STREET,PLYMOUTH STREET,,,,,NY,11201,Brooklyn,302,33,,,,,21,40.70390724,-73.99066235,NYC Soft Ice Cream Truck owned by Eddie Cumart
045050-2024-CMPL,8/24/24,311,311-19805110,Specialized Vending License - MFV,Price Not Posted,BA-1707002-2024,Eddies Ice Cream,9/25/24,Requested Information Not Provided,,,,Complete Address,125,CADMAN PLZ E,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3388794,3000750001,BK38,1004,13,40.70017153,-73.98975404,NYC Soft Ice Cream Truck owned by Eddie Cumart
044928-2024-CMPL,8/22/24,311,311-19789738,Specialized Vending License - MFV,Price Not Posted,BA-1707142-2024,EDDIE ICE CREAM CORP,10/16/24,Consumer Took Action - CTA,,,,Complete Address,10529,METROPOLITAN AVE,,,,,FOREST HILLS,NY,11375,Queens,406,29,4078068,4032600044,QN17,2003,731,40.70998275,-73.84782093,NYC Soft Ice Cream Truck owned by Eddie Cumart
044772-2024-CMPL,8/21/24,311,311-19770023,Specialized Vending License - MFV,Price Not Posted,BA-1688781-2024,NYC Soft Ice Cream Truck owned by Eddie Cumart,8/21/24,Complaint Review Complete,,,,Cross Street (Intersection),,WASHINGTON STREET,PLYMOUTH STREET,,,,Brooklyn,NY,11201,Brooklyn,302,33,,,,,21,40.70386048,-73.98953708,NYC Soft Ice Cream Truck owned by Eddie Cumart
